Conference,Year,Title,Predominant Continent
ic2e,2013,Dynamic Power- and Failure-Aware Cloud Resources Allocation for Sets of Independent Tasks.,EU
ic2e,2013,HPC-Aware VM Placement in Infrastructure Clouds.,NA
ic2e,2013,Service Isolation vs. Consolidation: Implications for IaaS Cloud Application Deployment.,NA
ic2e,2013,Cloud Federation: Effects of Federated Compute Resources on Quality of Service and Cost.,EU
ic2e,2013,PDS Cloud: Long Term Digital Preservation in the Cloud.,AS
ic2e,2013,A Tool for Practical Garbage Collection Analysis in the Cloud.,NA
ic2e,2013,Towards Self-Adaptive Cloud Collaborations.,AS
ic2e,2013,Employing Service Orientation to Enable Training as a Service in the U.S. Army.,NA
ic2e,2013,Leveraging Cloud for Enterprise Mobile Services Delivery.,
ic2e,2013,Defining the Cloud Battlefield - Supporting Security Assessments by Cloud Customers.,EU
ic2e,2013,Defense-in-Depth Against Malicious Insiders in the Cloud.,EU
ic2e,2013,Network-Level Access Control Management for the Cloud.,NA
ic2e,2013,Middleware-Layer for Authenticating Mobile Consumers of Amazon S3 Data.,NA
ic2e,2013,A Middleware Guaranteeing Client-Centric Consistency on Top of Eventually Consistent Datastores.,
ic2e,2013,An Analysis of the Server Characteristics and Resource Utilization in Google Cloud.,EU
ic2e,2013,Efficient Inter-cloud Replication for High-Availability Services.,EU
ic2e,2013,Distributed Collaborative Filtering on a Single Chip Cloud Computer.,NA
ic2e,2013,Scaling SeerSuite in the Cloud.,NA
ic2e,2013,From Monolithic Systems to a Federated e-Learning Cloud System.,AS
ic2e,2013,The Impact of Mobile Multimedia Applications on Data Center Consolidation.,NA
ic2e,2013,Theius: A Streaming Visualization Suite for Hadoop Clusters.,NA
ic2e,2013,Adaptive Fault Detection for Testing Tenant Applications in Multi-tenancy SaaS Systems.,NA
ic2e,2013,Partitioning and Cloud Deployment of Composite Web Services under Security Constraints.,NA
ic2e,2013,A Configuration Crawler for Virtual Appliances in Compute Clouds.,EU
ic2e,2013,Performance Optimizations for Interacting Business Processes.,EU
ic2e,2013,A Framework for Controlling and Managing Hybrid Cloud Service Integration.,NA
ic2e,2013,Anonymous Searchable Encryption Scheme for Multi-user Databases.,AS
ic2e,2013,Total Energy Management System for Cloud Computing.,AS
ic2e,2013,Cloud Incident Data: An Empirical Analysis.,NA
ic2e,2013,A Differential Approach for Configuration Fault Localization in Cloud Environments.,AS
ic2e,2013,Techniques for Optimizing Cloud Footprint.,NA
ic2e,2013,An Auction-Based Resource Allocation Model for Green Cloud Computing.,AS
ic2e,2013,Adaptive Service Workflow Configuration and Agent-Based Virtual Resource Management in the Cloud.,NA
ic2e,2013,Energy Saving in Mobile Cloud Computing.,NA
ic2e,2013,ABACUS: An Auction-Based Approach to Cloud Service Differentiation.,AS
ic2e,2013,CloudBench: Experiment Automation for Cloud Environments.,
ic2e,2013,VBoom: Creating a Virtual Machine Real Estate Boom.,NA
ic2e,2013,Katana: Generalized Data Processing on Peer-to-Peer Overlays.,AS
ic2e,2013,"System G Data Store: Big, Rich Graph Data Analytics in the Cloud.",NA
ic2e,2013,Cross-Phase Optimization in MapReduce.,NA
ic2e,2014,Enterprise Database Applications and the Cloud: A Difficult Road Ahead.,NA
ic2e,2014,Agentless Cloud-Wide Streaming of Guest File System Updates.,NA
ic2e,2014,Preservation of Security Configurations in the Cloud.,NA
ic2e,2014,Benchmarking the Performance Impact of Transport Layer Security in Cloud Database Systems.,
ic2e,2014,Silver Lining: Enforcing Secure Information Flow at the Cloud Edge.,NA
ic2e,2014,Benchmarking Eventual Consistency: Lessons Learned from Long-Term Experimental Studies.,EU
ic2e,2014,Nebula: Distributed Edge Cloud for Data Intensive Computing.,NA
ic2e,2014,Distributed Diversification of Large Datasets.,NA
ic2e,2014,Building Cost-Effective Storage Clouds.,NA
ic2e,2014,Combining Declarative and Imperative Cloud Application Provisioning Based on TOSCA.,
ic2e,2014,Migrating a Digital Library to a Private Cloud.,NA
ic2e,2014,Taiwan UniCloud: A Cloud Testbed with Collaborative Cloud Services.,AS
ic2e,2014,Towards Software Product Lines Based Cloud Architectures.,AS
ic2e,2014,Template-Based Memory Deduplication Method for Inter-Data Center Live Migration of Virtual Machines.,AS
ic2e,2014,An Adaptive Utilization Accelerator for Virtualized Environments.,AS
ic2e,2014,Scalable Business Process Execution in the Cloud.,EU
ic2e,2014,Using Network Knowledge to Improve Workload Performance in Virtualized Data Centers.,NA
ic2e,2014,Autoscaling Web Applications in Heterogeneous Cloud Infrastructures.,EU
ic2e,2014,Characterizing and Evaluating Different Deployment Approaches for Cloud Applications.,EU
ic2e,2014,Exploring Models and Mechanisms for Exchanging Resources in a Federated Cloud.,EU
ic2e,2014,"Managing Tiny Tasks for Data-Parallel, Subsampling Workloads.",NA
ic2e,2014,Discovering the Structure of Cloud Applications Using Sampled Packet Traces.,NA
ic2e,2014,TIOSA: Testing VM Interoperability at an OS and Application Level - A Hypervisor Testing Method and Interoperability Survey.,EU
ic2e,2014,Service Usage Metering in Hybrid Cloud Environments.,NA
ic2e,2014,Blueprint for Business Middleware as a Managed Cloud Service.,NA
ic2e,2014,"Cloud Application Portability with TOSCA, Chef and Openstack.",
ic2e,2014,Forensic Virtual Machines: Dynamic Defence in the Cloud via Introspection.,
ic2e,2014,Benchmarking Private Cloud Performance with User-Centric Metrics.,AS
ic2e,2015,Graph Aware Caching Policy for Distributed Graph Stores.,AS
ic2e,2015,Smart Cache: An Optimized MapReduce Implementation of Frequent Itemset Mining.,NA
ic2e,2015,"Cloud-Based, User-Centric Mobile Application Optimization.",NA
ic2e,2015,Cloud Desktop Workload: A Characterization Study.,EU
ic2e,2015,Leveraging Linux Containers to Achieve High Availability for Cloud Services.,NA
ic2e,2015,Polyglot Application Auto Scaling Service for Platform as a Service Cloud.,AS
ic2e,2015,Cloud Storage Infrastructure Optimization Analytics.,NA
ic2e,2015,In-memory Computing for Scalable Data Analytics.,NA
ic2e,2015,Stratus ML: A Layered Cloud Modeling Framework.,NA
ic2e,2015,Kangaroo: A Tenant-Centric Software-Defined Cloud Infrastructure.,EU
ic2e,2015,Understanding Real World Data Corruptions in Cloud Systems.,NA
ic2e,2015,An Automated Parallel Approach for Rapid Deployment of Composite Application Servers.,AS
ic2e,2015,Transforming Vertical Web Applications into Elastic Cloud Applications.,EU
ic2e,2015,Flex Tuner: A Flexible Container-Based Tuning System for Cloud Applications.,NA
ic2e,2015,Efficient Retrieval of Key Material for Inspecting Potentially Malicious Traffic in the Cloud.,EU
ic2e,2015,Substring Position Search over Encrypted Cloud Data Using Tree-Based Index.,NA
ic2e,2015,Verifiable Delegated Set Intersection Operations on Outsourced Encrypted Data.,NA
ic2e,2015,Scalable Attestation: A Step Toward Secure and Trusted Clouds.,
ic2e,2015,Cross-Layer Scheduling in Cloud Systems.,NA
ic2e,2015,Resource Defragmentation Using Market-Driven Allocation in Virtual Desktop Clouds.,NA
ic2e,2015,Using Trustworthy Simulation to Engineer Cloud Schedulers.,NA
ic2e,2015,A Multi-resource Sharing-Aware Approximation Algorithm for Virtual Machine Maximization.,NA
ic2e,2016,Not All Joules are Equal: Towards Energy-Efficient and Green-Aware Data Processing Frameworks.,AS
ic2e,2016,Supporting On-demand Elasticity in Distributed Graph Processing.,NA
ic2e,2016,Stela: Enabling Stream Processing Systems to Scale-in and Scale-out On-demand.,NA
ic2e,2016,Awan: Locality-Aware Resource Manager for Geo-Distributed Data-Intensive Applications.,
ic2e,2016,Information Flow Audit for PaaS Clouds.,EU
ic2e,2016,Surviving Failures with Performance-Centric Bandwidth Allocation in Private Datacenters.,NA
ic2e,2016,LOGAN: Problem Diagnosis in the Cloud Using Log-Based Reference Models.,
ic2e,2016,The Discovery Cloud: Accelerating and Democratizing Research on a Global Scale.,NA
ic2e,2016,Cost-Aware Scalability of Applications in Public Clouds.,EU
ic2e,2016,Cloud Instance Management and Resource Prediction for Computation-as-a-Service Platforms.,
ic2e,2016,A Comparative Evaluation of Algorithms for Auction-Based Cloud Pricing Prediction.,SA
ic2e,2016,Autoscaling for Hadoop Clusters.,NA
ic2e,2016,UIE: User-Centric Interference Estimation for Cloud Applications.,NA
ic2e,2016,GeoScale: Providing Geo-Elasticity in Distributed Clouds.,NA
ic2e,2016,Attribute-Based Partial Geo-Replication System.,NA
ic2e,2016,A Genetic Algorithm for Dynamic Cloud Application Brokerage.,SA
ic2e,2016,A Reinforcement Learning-Based Power Management Framework for Green Computing Data Centers.,NA
ic2e,2016,Automatic Extraction of Metrics from SLAs for Cloud Service Management.,NA
ic2e,2016,"SENDIM for Incremental Development of Cloud Networks: Simulation, Emulation and Deployment Integration Middleware.",EU
